event_id,primary_classification,primary_score
22074346,greetings,0.971899
22081726,personal,0.711979
22083494,birthday_celebration,0.988591
22086986,greetings,0.873238
22095076,wedding_related,0.73832
22096886,birthday_celebration,0.977175
22107183,wedding_related,0.55475
22115998,birthday_celebration,0.888092
22118304,personal,0.560429
22120834,wedding_related,0.98327
22126213,organizations,0.894883
22127438,personal,0.930278
22133203,wedding_related,0.594554
22135402,wedding_related,0.874664
22135798,wedding_related,0.8833
22137094,wedding_related,0.966743
22145384,wedding_related,0.974964
22147799,personal,0.303719
22149420,organizations,0.951679
22180106,birthday_celebration,0.938077
22180611,birthday_celebration,0.718811
22181295,wedding_related,0.897557
22188321,greetings,0.961733
22204320,organizations,0.828975
22206976,birthday_celebration,0.953902
22210109,birthday_celebration,0.994699
22211768,wedding_related,0.98061
22212878,greetings,0.946885
22219070,birthday_celebration,0.912749
22220817,organizations,0.893426
22221573,greetings,0.979965
22234640,wedding_related,0.79443
22234821,greetings,0.992589
22236262,wedding_related,0.778042
22250272,birthday_celebration,0.65233
22251750,greetings,0.970864
22261655,wedding_related,0.998846
22264897,birthday_celebration,0.970383
22270012,greetings,0.968511
22270048,personal,0.948312
22270120,other,0.884193
22275490,birthday_celebration,0.970826
22280336,wedding_related,0.698305
22283541,wedding_related,0.973674
22283901,other,0.910485
22289315,greetings,0.945914
22292450,personal,0.578652
22294540,personal,0.886784
22297420,greetings,0.972696
22298032,birthday_celebration,0.932361
22306990,wedding_related,0.719039
22314183,birthday_celebration,0.923104
22314255,other,0.643238
22314812,greetings,0.634802
22316181,personal,0.637456
22316273,personal,0.46526
22316633,birthday_celebration,0.935266
22316849,birthday_celebration,0.862444
22317281,wedding_related,0.970683
22319384,birthday_celebration,0.937386
22324303,wedding_related,0.883852
22327731,greetings,0.986893
22331619,birthday_celebration,0.861721
22333635,personal,0.476379
22339908,birthday_celebration,0.684201
22345457,other,0.787847
22348675,personal,0.604671
22350301,wedding_related,0.887727
22350337,personal,0.723343
22352914,birthday_celebration,0.958
22355907,wedding_related,0.927103
22357432,wedding_related,0.988463
22364637,personal,0.608855
22365488,wedding_related,0.979478
22366061,organizations,0.664902
22371568,greetings,0.977645
22373118,personal,0.951105
22382033,birthday_celebration,0.880368
22383637,wedding_related,0.790756
22392124,greetings,0.878807
22393367,birthday_celebration,0.931913
22395311,wedding_related,0.880343
22401225,organizations,0.972118
22403525,birthday_celebration,0.92533
22404497,personal,0.971335
22407054,wedding_related,0.50659
22407382,personal,0.747827
22410549,personal,0.929693
22414080,wedding_related,0.880004
22417830,personal,0.519359
22419815,wedding_related,0.940713
22420099,organizations,0.664902
22420459,birthday_celebration,0.804753
22425392,birthday_celebration,0.892849
22427733,wedding_related,0.844172
22430266,wedding_related,0.532999
22437652,personal,0.684472
22438876,birthday_celebration,0.931896
22443323,personal,0.48521
22444134,wedding_related,0.888153
22444691,birthday_celebration,0.949499
22445358,wedding_related,0.907872
22447878,birthday_celebration,0.945842
22451140,personal,0.823123
22454332,birthday_celebration,0.937052
22461863,birthday_celebration,0.997499
22465394,wedding_related,0.355839
22467518,greetings,0.926444
22474944,birthday_celebration,0.906116
22478366,greetings,0.928699
22478798,birthday_celebration,0.932361
22480939,wedding_related,0.981537
22481318,birthday_celebration,0.776514
22484755,wedding_related,0.951018
22485259,organizations,0.775753
22485642,greetings,0.946674
22489545,wedding_related,0.608313
22495235,wedding_related,0.405424
22503073,birthday_celebration,0.880798
22504550,wedding_related,0.918141
22510007,other,0.461177
22512348,greetings,0.780424
22514676,greetings,0.768521
22514712,birthday_celebration,0.909593
22515915,personal,0.821114
22518492,birthday_celebration,0.919098
22520621,organizations,0.657372
22523037,organizations,0.693091
22527192,wedding_related,0.982907
22528475,birthday_celebration,0.774297
22531141,greetings,0.664933
22532523,personal,0.959836
22536078,greetings,0.619565
22538450,wedding_related,0.937474
22540165,birthday_celebration,0.874913
22540574,birthday_celebration,0.998272
22544275,wedding_related,0.937652
22546196,wedding_related,0.925534
22547407,wedding_related,0.870655
22548236,wedding_related,0.870789
22549223,other,0.675717
22549534,personal,0.776186
22549547,personal,0.947713
22551516,greetings,0.985461
22552645,birthday_celebration,0.39265
22554756,personal,0.495519
22555112,birthday_celebration,0.898276
22558609,wedding_related,0.855798
22560588,organizations,0.417944
22563351,birthday_celebration,0.999805
22564068,greetings,0.926611
22565201,wedding_related,0.932169
22568624,birthday_celebration,0.927346
22568755,personal,0.995635
22570316,birthday_celebration,0.990184
22572861,birthday_celebration,0.992801
22573666,birthday_celebration,0.992801
22574621,birthday_celebration,0.992801
22577590,birthday_celebration,0.992801
22578634,birthday_celebration,0.992801
22580705,birthday_celebration,0.992801
